430359,Session,Scan,S/N (Arya),S/N (Jen),S/N (Becky),"S/N (J,S,A)",S/N (Katie),S/N (Alex),S/N average,S/N(Arya)(median-method),S/N (Tom)(median-method),"S/N (J,S,A)(median-method)","Classification (gps, detection, non-detection)",,,,-> Strong Detection (S/N >= 8),
440420,1,13,3.5,4.66,4.7,5.52,4.35,3.5,4.5374,3.2,3.4,3.42,,,,,,
440420,1,15,,,,,,,#DIV/0!,,,,,,,,"-> Weak,low S/N",(S/N ~3-8)
440420,16,49,,,,,,,#DIV/0!,,,,,,,,,
440420,16,51,,,,,,,#DIV/0!,,,,,,,,,
140442,1,17,8.6,,7.7,7.9,8.74,5.68,8.235,6.5,8.1,7.3,,,,,,
140442,1,19,,,,,,,#DIV/0!,,,,,,,,-> Non-detection,(S/N < 3
3151,1,21,3.46,,3.2,,3.31,2.57,3.323333333,1.27,1.3,,,probably needs at least  2 more?,,,,
3151,1,23,,,,,,,#DIV/0!,,,,,,,,-> Unique scenarios,
3232,1,25,27.67,,,21,26.26,12.15,24.97666667,22.87,22.6,22.4,,,,,,
3232,1,27,,,,,,,#DIV/0!,,,,,,,,,
24007,1,29,7.08,7.57,6.7,11.23,7.51,5.21,8.018,4.51,5.3,7.52,,,,,,
24007,1,31,,,,,,,#DIV/0!,,,,,,,,,
24007,16,53,,,,,,,#DIV/0!,,,,,,,,,
24007,16,55,,,,,,,#DIV/0!,,,,,,,,,
450525,1,33,9.05,,10,9.3,9.17,4.925,9.38,7.27,6.8,6.6,,confusion! likely picking up signal from spiral in field with v~9300 km/s\,,,,
450525,1,35,,,,,,,#DIV/0!,,,,,,,,,
24223,1,37,5.5,,5.1,6.03,5.67,5.23,5.575,3.32,3.9,3.85,,warped disk,,,,
24223,1,39,,,,,,,#DIV/0!,,,,,,,,,
24223,16,57,,,,,,,#DIV/0!,,,,,,,,,
24223,16,59,,,,,,,#DIV/0!,,,,,,,,,
610776,2,9,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
610776,2,11,,,,,,,#DIV/0!,,,,,,,,,
11758,2,13,6.1,,,,6.4,,6.25,4.14,3.2,,,,,,,
11758,9,73,,,,,,,#DIV/0!,,,,,,,,,
11758,21,21,,,,,,,,,,,,,,,,
11758,21,23,,,,5.86,,,,,,4.31,,,,,,
311400,2,15,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
311400,2,17,,,,,,,#DIV/0!,,,,,,,,,
610773,2,19,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
610773,2,21,,,,,,,#DIV/0!,,,,,,,,,
610146,2,23,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
610146,2,25,,,,,,,#DIV/0!,,,,,,,,,
610146,9,77,,,,,,,#DIV/0!,,,,,,,,,
610146,9,79,,,,,,,#DIV/0!,,,,,,,,,
34954,2,27,,,,,7.32,,7.32,5.42,,,,,,,,
34954,2,29,,,,,,,#DIV/0!,,,,,,,,,
34954,9,75,,,,,,,#DIV/0!,,,,,,,,,
34954,21,25,,,,,,,,,,,,,,,,
34954,21,27,,,,,,,,,,,,,,,,
11628,2,31,15.939,,,14.23,14.81,,14.993,13.77,,13.8,,,,,,
11628,21,17,,,,,,,,,,,,,,,,
11628,21,19,,,,13.17,,,,,,12.6,,,,,,
323632,2,33,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
323632,2,35,,,,,,,#DIV/0!,,,,,,,,,
300486,3,9,n/a,,,,n/a,,#DIV/0!,n/a,,,,**observe with different OFF,,,,
300486,5,39,,,,,,,#DIV/0!,,,,,,,,,
310069,3,11,17.66,,,11.23,17.08,,15.32333333,9.47,,7.72,,"Median method S/N much lower since I used the lower peak of the two, and used the higher peak for the regular method",,,,
310069,3,13,,,,,,,#DIV/0!,,,,,,,,,
310069,11,9,,,,,,,#DIV/0!,,,,,,,,,
310983,3,15,n/a,,,n/a,n/a,,#DIV/0!,n/a,,1.55,,,,,,
310983,3,17,,,,,,,#DIV/0!,,,,,,,,,
11554,3,19,17.8275,,,16.9,17.35,8.18,17.35916667,15.13,,15.7,,,,,,
11554,3,21,,,,,,,#DIV/0!,,,,,,,,,
311262,3,23,,,,4.55,n/a,,4.55,n/a,,2.83,,**possible confusion or wrong vhel,,,,
311262,3,25,,,,,,,#DIV/0!,,,,,,,,,
311262,11,11,,,,,,,#DIV/0!,,,,,,,,,
321738,3,27,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
321738,3,29,,,,,,,#DIV/0!,,,,,,,,,
323630,3,31,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
323630,3,33,,,,,,,#DIV/0!,,,,,,,,,
12071,3,35,3.0317,,,2.6,4.04,,3.2239,2.13,,0.8,,,,,,
12071,3,37,,,,,,,#DIV/0!,,, ,,,,,,
12071,11,13,,,,,,,#DIV/0!,,,,,,,,,
320249,3,39,,,,3.03,,,3.03,,,1.09,,Baseline unreliable,,,,
320249,3,41,,,,,,,#DIV/0!,,,,,,,,,
331536,3,43,n/a,,,n/a,n/a,,#DIV/0!,n/a,,,,,,,,
331536,3,45,,,,,,,#DIV/0!,,,,,,,,,
331536,11,15,,,,,,,#DIV/0!,,,n/a,,,,,,
337144,3,47,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
337144,3,49,,,,,,,#DIV/0!,,,,,,,,,
646,3,51,n/a,,,,n/a,,#DIV/0!,n/a,,,,vhel and detection are shifted left,,,,
646,3,53,,,,,,,#DIV/0!,,,,,,,,,
646,26,33,,,,,,,,,,,,,,,,
646,26,35,,,,,,,,,,,,,,,,
111724,3,55,n/a,,,,n/a,,#DIV/0!,n/a,,,,,,,,
111724,3,57,,,,,,,#DIV/0!,,,,,,,,,
